Degraded,MOS_P563
AJN-20131002-zcl_b0095_plr1_opus.wav, 1.000000
AJN-20131002-zcl_b0096_plr3_evs.wav, 1.000000
AJN-20131002-zcl_b0097_plr5_opus.wav, 1.000000
AJN-20131002-zcl_b0098_plr1_evs.wav, 1.000000
AT-20130718-lws_a0011_plr1_evs.wav, 1.000000
AT-20130718-lws_a0012_plr3_opus.wav, 1.000000
AT-20130718-lws_a0013_plr5_evs.wav, 1.000000
AT-20130718-lws_a0014_plr1_opus.wav, 1.000000
AT-20130718-lws_a0015_plr3_evs.wav, 1.760440
AT-20130718-lws_a0016_plr5_opus.wav, 1.006543
AT-20130718-lws_a0017_plr1_evs.wav, 1.000000
AT-20130718-lws_a0018_plr3_opus.wav, 1.160470
AT-20130718-lws_a0019_plr5_evs.wav, 1.260043
AT-20130718-lws_a0020_plr1_opus.wav, 1.019243
Aaron-20080318-kdl_b0019_plr5_opus.wav, 1.000000
Aaron-20080318-kdl_b0020_plr1_evs.wav, 1.000000
Aaron-20080318-kdl_b0021_plr3_opus.wav, 1.000000
Aaron-20080318-kdl_b0022_plr5_evs.wav, 1.000000
Aaron-20080318-kdl_b0023_plr1_opus.wav, 1.000000
Aaron-20080318-kdl_b0024_plr3_evs.wav, 1.000000
Aaron-20080318-kdl_b0025_plr5_opus.wav, 1.000000
Aaron-20080318-kdl_b0026_plr1_evs.wav, 1.000000
Aaron-20080318-kdl_b0027_plr3_opus.wav, 1.000000
Aaron-20080318-kdl_b0028_plr5_evs.wav, 1.000000
Aaron-20080318-lbb_a0043_plr1_opus.wav, 1.000000
Aaron-20080318-lbb_a0044_plr3_evs.wav, 1.000000
Aaron-20080318-lbb_a0045_plr5_opus.wav, 1.000000
Aaron-20080318-lbb_a0046_plr1_evs.wav, 1.000000
Aaron-20080318-lbb_a0047_plr3_opus.wav, 1.000000
Aaron-20080318-lbb_a0048_plr5_evs.wav, 1.000000
Aaron-20080318-lbb_a0049_plr1_opus.wav, 1.000000
Aaron-20080318-lbb_a0050_plr3_evs.wav, 1.000000
Aaron-20080318-lbb_a0051_plr5_opus.wav, 1.000000
Aaron-20080318-lbb_a0052_plr1_evs.wav, 1.000000
Aaron-20080318-lbk_b0366_plr3_opus.wav, 1.000000
Aaron-20080318-lbk_b0367_plr5_evs.wav, 1.000000
Aaron-20080318-lbk_b0368_plr1_opus.wav, 1.000000
Aaron-20080318-lbk_b0369_plr3_evs.wav, 1.000000
Aaron-20080318-lbk_b0370_plr5_opus.wav, 1.000000
Aaron-20080318-lbk_b0371_plr1_evs.wav, 1.000000
Aaron-20080318-lbk_b0372_plr3_opus.wav, 1.000000
Aaron-20080318-lbk_b0373_plr5_evs.wav, 1.000000
Aaron-20080318-lbk_b0374_plr1_opus.wav, 1.000000
Aaron-20080318-lbk_b0375_plr3_evs.wav, 1.000000
Aaron-20080318-liy_b0402_plr5_opus.wav, 1.000000
Aaron-20080318-liy_b0403_plr1_evs.wav, 1.000000
Aaron-20080318-liy_b0404_plr3_opus.wav, 1.000000
Aaron-20080318-liy_b0405_plr5_evs.wav, 1.000000
Aaron-20080318-liy_b0406_plr1_opus.wav, 1.000000
Aaron-20080318-liy_b0407_plr3_evs.wav, 1.000000
Aaron-20080318-liy_b0408_plr5_opus.wav, 1.000000
Aaron-20080318-liy_b0409_plr1_evs.wav, 1.000000
Aaron-20080318-liy_b0410_plr3_opus.wav, 1.000000
Aaron-20080318-liy_b0411_plr5_evs.wav, 1.000000
Aaron-20080318-ngh_b0346_plr1_opus.wav, 1.000000
Aaron-20080318-ngh_b0347_plr3_evs.wav, 1.000000
Aaron-20080318-ngh_b0348_plr5_opus.wav, 1.000000
Aaron-20080318-ngh_b0349_plr1_evs.wav, 1.000000
Aaron-20080318-ngh_b0350_plr3_opus.wav, 1.000000
Aaron-20080318-ngh_b0351_plr5_evs.wav, 1.000000
Aaron-20080318-ngh_b0352_plr1_opus.wav, 1.000000
Aaron-20080318-ngh_b0353_plr3_evs.wav, 1.000000
Aaron-20080318-ngh_b0354_plr5_opus.wav, 1.000000
Aaron-20080318-ngh_b0355_plr1_evs.wav, 1.000000
Aaron-20080318-pwn_a0264_plr3_opus.wav, 1.000000
Aaron-20080318-pwn_a0265_plr5_evs.wav, 1.000000
Aaron-20080318-pwn_a0266_plr1_opus.wav, 1.000000
Aaron-20080318-pwn_a0267_plr3_evs.wav, 1.000000
Aaron-20080318-pwn_a0268_plr5_opus.wav, 1.000000
Aaron-20080318-pwn_a0269_plr1_evs.wav, 1.000000
Aaron-20080318-pwn_a0270_plr3_opus.wav, 1.000000
Aaron-20080318-pwn_a0271_plr5_evs.wav, 1.000000
Aaron-20080318-pwn_a0272_plr1_opus.wav, 1.000000
Aaron-20080318-pwn_a0273_plr3_evs.wav, 1.000000
Aaron-20130527-giy_b0350_plr5_opus.wav, 1.000000
Aaron-20130527-giy_b0351_plr1_evs.wav, 1.000000
Aaron-20130527-giy_b0352_plr3_opus.wav, 1.000000
Aaron-20130527-giy_b0353_plr5_evs.wav, 1.000000
Aaron-20130527-giy_b0354_plr1_opus.wav, 1.000000
Aaron-20130527-giy_b0355_plr3_evs.wav, 1.000000
Aaron-20130527-giy_b0356_plr5_opus.wav, 1.000000
Aaron-20130527-giy_b0357_plr1_evs.wav, 1.000000
Aaron-20130527-giy_b0358_plr3_opus.wav, 1.000000
Aaron-20130527-giy_b0359_plr5_evs.wav, 1.000000
AbdulMoiz-20121010-juf_a0286_plr1_opus.wav, 1.000000
AbdulMoiz-20121010-juf_a0287_plr3_evs.wav, 1.000000
AbdulMoiz-20121010-juf_a0288_plr5_opus.wav, 2.829408
AbdulMoiz-20121010-juf_a0289_plr1_evs.wav, 1.000000
AbdulMoiz-20121010-juf_a0290_plr3_opus.wav, 1.000000
AbdulMoiz-20121010-juf_a0291_plr5_evs.wav, 1.000000
AbdulMoiz-20121010-juf_a0292_plr1_opus.wav, 2.742850
AbdulMoiz-20121010-juf_a0293_plr3_evs.wav, 1.000000
AbdulMoiz-20121010-juf_a0294_plr5_opus.wav, 1.000000
AbdulMoiz-20121010-juf_a0295_plr1_evs.wav, 1.000000
Adminvox-05232006_a0441_plr5_evs.wav, 1.157322
Adminvox-05232006_a0442_plr1_opus.wav, 1.197891
Adminvox-05232006_a0443_plr3_evs.wav, 1.848929
Adminvox-05232006_a0444_plr5_opus.wav, 1.546710
Adminvox-05232006_a0445_plr1_evs.wav, 1.000000
Adminvox-05232006_a0446_plr3_opus.wav, 2.035795
Adminvox-05232006_a0447_plr5_evs.wav, 1.635915
Adminvox-05232006_a0448_plr1_opus.wav, 1.077350
Adminvox-05232006_a0449_plr3_evs.wav, 1.047817
Adminvox-05232006_a0450_plr5_opus.wav, 1.589311
Adminvox-05232006_a0451_plr1_evs.wav, 1.172459
Adminvox-05232006_a0452_plr3_opus.wav, 2.724124
Adminvox-05232006_a0453_plr5_evs.wav, 1.090056
Adminvox-05232006_a0454_plr1_opus.wav, 1.227025
Adminvox-05232006_a0455_plr3_evs.wav, 1.420656
Adminvox-05232006_a0456_plr5_opus.wav, 1.840717
Adminvox-05232006_a0457_plr1_evs.wav, 1.243802
Adminvox-05232006_a0458_plr3_opus.wav, 1.609889
Adminvox-05232006_a0459_plr5_evs.wav, 1.000000
Adminvox-05232006_a0460_plr1_opus.wav, 1.917489
Adminvox-05262006_sample10_plr5_evs.wav, 1.000000
Adminvox-05262006_sample11_plr1_opus.wav, 1.000000
Adminvox-05262006_sample12_plr3_evs.wav, 1.000000
Adminvox-05262006_sample13_plr5_opus.wav, 1.267733
Adminvox-05262006_sample14_plr1_evs.wav, 1.000000
Adminvox-05262006_sample15_plr3_opus.wav, 1.543539
Adminvox-05262006_sample16_plr5_evs.wav, 1.000000
Adminvox-05262006_sample17_plr1_opus.wav, 3.085925
Adminvox-05262006_sample18_plr3_evs.wav, 1.000000
Adminvox-05262006_sample19_plr5_opus.wav, 1.000000
Adminvox-05262006_sample1_plr3_evs.wav, 1.000000
Adminvox-05262006_sample20_plr3_opus.wav, 1.464837
Adminvox-05262006_sample21_plr5_evs.wav, 1.000000
Adminvox-05262006_sample22_plr1_opus.wav, 1.000000
Adminvox-05262006_sample23_plr3_evs.wav, 1.362146
Adminvox-05262006_sample24_plr5_opus.wav, 1.124426
Adminvox-05262006_sample25_plr1_evs.wav, 1.406348
Adminvox-05262006_sample26_plr3_opus.wav, 1.772765
Adminvox-05262006_sample27_plr5_evs.wav, 1.000000
Adminvox-05262006_sample28_plr1_opus.wav, 3.816390
Adminvox-05262006_sample29_plr3_evs.wav, 1.278034
Adminvox-05262006_sample2_plr1_opus.wav, 1.000000
Adminvox-05262006_sample30_plr1_evs.wav, 1.000000
Adminvox-05262006_sample31_plr3_opus.wav, 1.000000
Adminvox-05262006_sample3_plr5_evs.wav, 1.000000
Adminvox-05262006_sample4_plr5_opus.wav, 1.491105
Adminvox-05262006_sample5_plr1_evs.wav, 1.346347
Adminvox-05262006_sample6_plr3_opus.wav, 1.858194
Adminvox-05262006_sample7_plr5_evs.wav, 1.000000
Adminvox-05262006_sample8_plr1_opus.wav, 1.000000
Adminvox-05262006_sample9_plr3_evs.wav, 1.000000
AdrianMcNear-20091016-psv_a0572_plr5_opus.wav, 1.000000
AdrianMcNear-20091016-psv_a0573_plr1_evs.wav, 1.000000
AdrianMcNear-20091016-psv_a0574_plr3_opus.wav, 1.000000
AdrianMcNear-20091016-psv_a0575_plr5_evs.wav, 1.000000
AdrianMcNear-20091016-psv_a0576_plr1_opus.wav, 1.000000
AdrianMcNear-20091016-psv_a0577_plr3_evs.wav, 1.000000
AdrianMcNear-20091016-psv_a0578_plr5_opus.wav, 1.000000
AdrianMcNear-20091016-psv_a0579_plr1_evs.wav, 1.000000
AdrianMcNear-20091016-psv_a0580_plr3_opus.wav, 1.000000
AdrianMcNear-20091016-psv_a0581_plr5_evs.wav, 1.000000
Afshad-20090813-zcz_a0447_plr1_opus.wav, 1.000000
Afshad-20090813-zcz_a0448_plr3_evs.wav, 1.000000
Afshad-20090813-zcz_a0449_plr5_opus.wav, 1.000000
Afshad-20090813-zcz_a0450_plr1_evs.wav, 1.000000
Afshad-20090813-zcz_a0451_plr3_opus.wav, 1.000000
Afshad-20090813-zcz_a0452_plr5_evs.wav, 1.000000
Afshad-20090813-zcz_a0453_plr1_opus.wav, 2.436022
Afshad-20090813-zcz_a0454_plr3_evs.wav, 1.000000
Afshad-20090813-zcz_a0455_plr5_opus.wav, 1.000000
Afshad-20090813-zcz_a0456_plr1_evs.wav, 1.000000
Afzal-20110524-qsu_b0136_plr3_opus.wav, 1.000000
Afzal-20110524-qsu_b0137_plr5_evs.wav, 1.000000
Afzal-20110524-qsu_b0138_plr1_opus.wav, 1.000000
Afzal-20110524-qsu_b0139_plr3_evs.wav, 1.000000
Afzal-20110524-qsu_b0140_plr5_opus.wav, 1.000000
Afzal-20110524-qsu_b0141_plr1_evs.wav, 1.000000
